source_id,verified,date,asset,price_usd,index_2015_=_100,notes
SCARCE_ASSET_RETURNS,true,2015-12-31,Bitcoin,362.73,100,"BTC end-of-year 2015 spot price per CoinMarketCap aggregation."
SCARCE_ASSET_RETURNS,false,2020-12-31,Bitcoin,28994,7993,"BTC end-of-year 2020 approximate $29K. Verify against CoinMarketCap or Yahoo Finance closing."
SCARCE_ASSET_RETURNS,true,2024-12-31,Bitcoin,93429.20,25758,"BTC end-of-year 2024 closing price per CoinMarketCap. ~258x return 2015-2024."
SCARCE_ASSET_RETURNS,true,2015-12-31,Gold,1077.20,100,"Gold spot per ounce end-of-year 2015 per LBMA / aggregator data."
SCARCE_ASSET_RETURNS,true,2020-12-31,Gold,1896.49,176,"End-of-year 2020 gold spot."
SCARCE_ASSET_RETURNS,true,2024-12-31,Gold,2623.84,244,"End-of-year 2024 gold spot. ~2.4x return 2015-2024."
SCARCE_ASSET_RETURNS,false,2015-12-31,US_median_home,295000,100,"Approximate US median home sales price end-Q4 2015 per FRED MSPUS series."
SCARCE_ASSET_RETURNS,false,2020-12-31,US_median_home,355000,120,"Approximate. Q4 2020."
SCARCE_ASSET_RETURNS,false,2024-12-31,US_median_home,420000,142,"Approximate Q4 2024 US median home sales price. ~1.4x 2015-2024."
SCARCE_ASSET_RETURNS,false,2015-12-31,SP500_total_return,3300,100,"Approximate SPXTR closing 2015. Verify against ^SP500TR."
SCARCE_ASSET_RETURNS,false,2020-12-31,SP500_total_return,7800,236,"Approximate."
SCARCE_ASSET_RETURNS,false,2024-12-31,SP500_total_return,12500,379,"Approximate. ~3.8x return 2015-2024 (~14.5% CAGR including dividends)."
SCARCE_ASSET_RETURNS,false,2015-12-31,MSCI_World_total_return,5000,100,"Approximate MSCI World gross-return ($) at end-2015. Verify."
SCARCE_ASSET_RETURNS,false,2024-12-31,MSCI_World_total_return,13500,270,"Approximate. ~2.7x return 2015-2024."
