source_id,verified,fiscal_year,metric,value,unit,scope,scenario,notes
LEG4_CBO_DEFICIT,false,2025,deficit,1900000000000,USD,US_federal,baseline,"$1.9 trillion deficit FY25 per CBO Jan 2025 outlook."
LEG4_CBO_DEFICIT,false,2025,deficit_pct_gdp,6.2,percent,US_federal,baseline,"6.2% of GDP FY25."
LEG4_CBO_DEFICIT,false,2026,deficit,1900000000000,USD,US_federal,baseline,"$1.9T per CBO Feb 2026 baseline. Was projected $1.7T (5.5%) but elements of TCJA expiring pushed back up."
LEG4_CBO_DEFICIT,false,2026,deficit_pct_gdp,5.5,percent,US_federal,baseline,"5.5% projection from Jan 2025 outlook (pre-TCJA expiration adjustment)."
LEG4_CBO_DEFICIT,false,2027,deficit_pct_gdp,5.2,percent,US_federal,baseline,"Falls as revenues outpace outlays after TCJA expiration."
LEG4_CBO_DEFICIT,false,2030,deficit_pct_gdp,6.0,percent,US_federal,baseline,"Climbs back above 6% by end of decade per CBO."
LEG4_CBO_DEFICIT,false,2035,deficit,2700000000000,USD,US_federal,baseline,"$2.7 trillion deficit. Adjusted to exclude shifts in payment timing."
LEG4_CBO_DEFICIT,false,2036,deficit,3100000000000,USD,US_federal,baseline,"$3.1T per CBO Feb 2026 Budget and Economic Outlook."
LEG4_CBO_DEFICIT,false,2036,deficit_pct_gdp,6.7,percent,US_federal,baseline,"6.7% of GDP."
LEG4_CBO_DEFICIT,false,2025,debt_held_by_public_pct_gdp,100,percent,US_federal,baseline,"Federal debt held by public = 100% of GDP."
LEG4_CBO_DEFICIT,false,2035,debt_held_by_public_pct_gdp,118,percent,US_federal,baseline,"Rises to 118% by 2035 — surpassing 1946 peak of 106%."
LEG4_CBO_DEFICIT,false,2036,debt_held_by_public_pct_gdp,120,percent,US_federal,baseline,"120% by 2036 per CBO Feb 2026 baseline."
LEG4_CBO_DEFICIT,false,1946,debt_held_by_public_pct_gdp,106,percent,US_federal,historical,"Previous historical peak — WWII aftermath."
