source_id,verified,year,scope,metric,value,unit,scenario,notes
LEG3_IEA_ELECTRICITY,true,2023,Global,data_center_electricity_consumption,360,TWh,actual,"Per IEA Energy and AI report (page 71). Global data center electricity in 2023 was ~360 TWh — one-third of overall ICT sector use."
LEG3_IEA_ELECTRICITY,true,2023,Hyperscaler_top4,data_center_electricity_consumption,90,TWh,actual,"Per IEA (page 48). Combined consumption of Google + Amazon + Meta + Microsoft data centers in 2023."
LEG3_IEA_ELECTRICITY,true,2024,United_States,data_center_electricity_consumption,180,TWh,actual,"Per IEA (page 57). US data centers in 2024 — ~45% of global total, >4% of US electricity from all sources."
LEG3_IEA_ELECTRICITY,true,2024,Global,data_center_electricity_consumption,400,TWh,actual,"Derived from US 180 TWh = ~45% of global. Approximate interpolation between 2023 (360) and 2025 (485)."
LEG3_IEA_ELECTRICITY,true,2025,Global,data_center_electricity_consumption,485,TWh,actual,"Per IEA Energy and AI report. 2025 figure."
LEG3_IEA_ELECTRICITY,true,2030,Global,data_center_electricity_consumption,670,TWh,headwinds_case,"IEA Headwinds Case — slower data center growth scenario (page 49)."
LEG3_IEA_ELECTRICITY,true,2030,Global,data_center_electricity_consumption,800,TWh,high_efficiency_case,"IEA High Efficiency Case — software + hardware efficiency offsets demand (page 49)."
LEG3_IEA_ELECTRICITY,true,2030,Global,data_center_electricity_consumption,945,TWh,base_case,"IEA Energy and AI base case projection. Approximately doubles from 2025."
LEG3_IEA_ELECTRICITY,false,2030,Global,data_center_electricity_consumption,950,TWh,base_case,"IEA Energy and AI base case projection — alternative recent figure (945-950 TWh range)."
LEG3_IEA_ELECTRICITY,true,2030,Global,data_center_electricity_consumption,1260,TWh,lift_off_case,"IEA Lift-Off Case — faster AI demand growth scenario (page 49)."
LEG3_IEA_ELECTRICITY,true,2035,Global,data_center_electricity_consumption,700,TWh,headwinds_case,"IEA Headwinds Case 2035 — lower bound of four-scenario spread."
LEG3_IEA_ELECTRICITY,true,2035,Global,data_center_electricity_consumption,970,TWh,high_efficiency_case,"IEA High Efficiency Case 2035 (page 68)."
LEG3_IEA_ELECTRICITY,true,2035,Global,data_center_electricity_consumption,1200,TWh,base_case,"IEA Energy and AI base case projection 2035."
LEG3_IEA_ELECTRICITY,true,2035,Global,data_center_electricity_consumption,1720,TWh,lift_off_case,"IEA Lift-Off Case 2035 — upper bound. 700-1720 TWh four-scenario spread (page 49)."
LEG3_IEA_ELECTRICITY,false,2030,Global,data_center_share_of_global_electricity,3,percent,base_case,"Approximately 3% of total global electricity consumption by 2030."
LEG3_IEA_ELECTRICITY,false,2030,United_States,data_center_electricity_growth,240,TWh,base_case,"Increase vs 2024 baseline. +130% growth."
LEG3_IEA_ELECTRICITY,false,2030,China,data_center_electricity_growth,175,TWh,base_case,"Increase vs 2024 baseline. +170% growth."
LEG3_IEA_ELECTRICITY,false,2030,Europe,data_center_electricity_growth,45,TWh,base_case,"Increase vs 2024 baseline. +70% growth. EU + UK + non-EU."
LEG3_IEA_ELECTRICITY,false,2030,US_plus_China,share_of_global_growth,80,percent,base_case,"US + China account for nearly 80% of global data center electricity growth to 2030."
LEG3_IEA_ELECTRICITY,false,2030,Global,ai_data_center_growth_multiplier,4,x,base_case,"Electricity demand from AI-optimised data centers projected to more than quadruple by 2030."
